year,team_spotrac,payroll_usd
2011,NYY,210950685
2011,BOS,170490761
2011,PHI,170018182
2011,LAA,146234559
2011,NYM,141831841
2011,CHC,137666584
2011,CHW,127163487
2011,SF,125242452
2011,STL,118919465
2011,LAD,114748517
2011,MIN,113591627
2011,DET,111521015
2011,TEX,103326721
2011,SEA,100829148
2011,ATL,98344460
2011,MIL,91150638
2011,BAL,90804322
2011,HOU,84598388
2011,COL,82897934
2011,CIN,81920546
2011,OAK,75241048
2011,TOR,73491604
2011,WSH,72699723
2011,FLA,65006851
2011,ARI,64297970
2011,CLE,55544993
2011,KC,52072804
2011,SD,48018810
2011,PIT,47140145
2011,TB,45386925
2012,NYY,225589742
2012,PHI,177862491
2012,BOS,173216551
2012,LAA,157168625
2012,DET,143782286
2012,TEX,138312903
2012,SF,137043205
2012,STL,119957765
2012,LAD,116707717
2012,CHC,114891526
2012,MIL,111903295
2012,CHW,108841055
2012,MIN,107939507
2012,NYM,104988166
2012,MIA,98120191
2012,ATL,97928056
2012,WSH,96169359
2012,TOR,95551627
2012,CIN,89901498
2012,COL,87232529
2012,SEA,83289928
2012,BAL,82932168
2012,ARI,80711013
2012,CLE,76577243
2012,KC,70344235
2012,TB,68144135
2012,SD,63831125
2012,PIT,61118682
2012,OAK,60470192
2012,HOU,54067239
2013,LAD,236694375
2013,NYY,234518126
2013,BOS,170734264
2013,PHI,163558353
2013,DET,157332966
2013,LAA,141542644
2013,SF,140280186
2013,TEX,137937146
2013,TOR,131752425
2013,STL,120192638
2013,WSH,116584094
2013,CHW,111777595
2013,CIN,103804640
2013,NYM,101300814
2013,BAL,100120869
2013,CHC,100052899
2013,ATL,94947950
2013,CLE,93008897
2013,ARI,88316478
2013,MIL,87016545
2013,KC,84398434
2013,SEA,82720022
2013,MIN,81300970
2013,COL,79017288
2013,PIT,71480984
2013,SD,67649701
2013,TB,67600703
2013,OAK,67055517
2013,MIA,35874855
2013,HOU,28727913
2014,LAD,242157818
2014,NYY,212512317
2014,PHI,175225539
2014,DET,172143106
2014,BOS,170095758
2014,LAA,165244781
2014,SF,160336782
2014,WSH,143278577
2014,TOR,141812172
2014,TEX,138770064
2014,STL,121340470
2014,ATL,116865707
2014,SEA,115534174
2014,BAL,113562943
2014,CIN,113351318
2014,MIL,107552546
2014,ARI,106343190
2014,KC,98558300
2014,COL,96772365
2014,NYM,94478037
2014,OAK,92888412
2014,CHC,90364741
2014,CHW,89297302
2014,MIN,87494478
2014,SD,85001967
2014,CLE,84481929
2014,TB,83321046
2014,PIT,76976823
2014,HOU,52182183
2014,MIA,50049679
2015,LAD,301735080
2015,NYY,221242659
2015,BOS,183481478
2015,SF,181613630
2015,WSH,165655095
2015,DET,162160921
2015,TEX,149234268
2015,LAA,143348162
2015,PHI,141722639
2015,TOR,138309664
2015,CHC,132993810
2015,STL,132178951
2015,KC,126391174
2015,SEA,126045473
2015,CHW,119812987
2015,BAL,116560870
2015,NYM,115698927
2015,CIN,112333097
2015,ATL,110777379
2015,SD,107915272
2015,MIN,106231818
2015,COL,101277051
2015,PIT,99435606
2015,MIL,93298373
2015,HOU,81450835
2015,OAK,80491339
2015,CLE,77404413
2015,ARI,76781801
2015,TB,73241552
2015,MIA,73240525
2016,LAD,266745494
2016,NYY,220743376
2016,BOS,207758836
2016,DET,200179285
2016,CHC,186772494
2016,SF,178834344
2016,LAA,174290373
2016,TEX,161021690
2016,BAL,154148832
2016,STL,149355870
2016,TOR,148385479
